CoatCheck,Attire,ReviewCount,TakeAway,State,CreditCards,City,Open,Smoking,Caters,TransitNearby,IsCasual,IsUpscale,BestNIghtMonThur,BestNightFriSat,School,GoodForLunch,GoodForDinner,HasMusic,Longitude,OutdoorSeating,GoodForGroups,WiFi,Alcohol,WaiterService,Delivery,HappyHour,GoodForKids,TakeOut,AvgPrice,NoiseLevel,HasTV,Latitude,GoodForDancing,NominalStars
?,Casual,12,?,TX,No,Austin,TRUE,?,No,N,N,N,N,N,University of Texas - Austin,N,N,N,-97.741394,Yes,Yes,?,?,Yes,No,?,Yes,Yes,7,?,No,30.289686,?,high
?,Casual,93,?,CA,No,Berkeley,TRUE,?,No,N,Y,N,N,N,University of California at Berkeley,N,N,N,-122.261275,Yes,No,No,No,No,No,?,Yes,Yes,7,Loud,No,37.867539,?,low
?,Casual,5,?,NJ,Yes,Princeton,FALSE,?,?,N,N,N,N,N,Princeton University,Y,Y,N,-74.660537,No,Yes,?,No,Yes,?,?,No,Yes,20,?,?,40.350761,?,low
No,Casual,105,?,TX,Yes,Houston,TRUE,Outdoor Area/ Patio Only,No,N,Y,N,Y,Y,Rice University,N,N,Y,-95.41485,Yes,Yes,?,Full Bar,Yes,No,Yes,No,No,20,Loud,Yes,29.72527,No,high
?,Casual,27,?,NY,Yes,Ithaca,TRUE,?,No,N,Y,N,N,N,Cornell University,N,Y,N,-76.495499,Yes,Yes,?,Full Bar,Yes,No,?,No,No,20,Average,Yes,42.439999,?,low
?,Casual,20,?,RI,No,Providence,FALSE,?,?,N,N,N,N,N,Brown University,Y,Y,N,-71.400547,No,Yes,?,No,No,No,?,Yes,Yes,7,?,?,41.829483,?,high
?,Casual,49,?,MA,Yes,Sunderland,TRUE,?,Yes,N,Y,N,N,N,University of Massachusetts - Amherst,N,Y,N,-72.54361,Yes,Yes,?,Beer & Wine Only,No,No,?,Yes,Yes,20,Average,No,42.431316,?,high
?,Casual,8,?,TX,Yes,Houston,TRUE,?,?,N,N,N,N,N,Rice University,Y,N,N,-95.401036,Yes,No,?,No,No,Yes,?,No,Yes,7,?,?,29.709832,?,low
?,Casual,12,?,IL,Yes,Champaign,TRUE,?,No,N,N,N,N,N,University of Illinois - Urbana-Champaign,N,Y,N,-88.23669,No,Yes,No,No,No,Yes,?,Yes,Yes,7,Average,No,40.110524,?,high
?,?,615,?,MA,?,Cambridge,TRUE,?,?,Y,N,N,N,N,"Massachusetts Institute of Technology, Harvard University",N,N,N,-71.116221,?,?,?,?,?,?,?,?,?,?,?,?,42.372644,?,high
?,Casual,38,?,NY,No,Troy,TRUE,?,No,N,Y,N,N,N,Rensselaer Polytechnic Institute,Y,N,N,-73.689003,No,Yes,No,No,No,No,?,Yes,Yes,7,Average,No,42.728699,?,high
No,Dressy,13,?,CA,Yes,Claremont,TRUE,No,No,N,N,Y,N,Y,Harvey Mudd College,N,Y,Y,-117.721458,No,Yes,No,Full Bar,Yes,No,No,Yes,No,45,Average,No,34.108447,No,high
?,Casual,7,?,NY,Yes,Ithaca,TRUE,?,?,N,N,N,N,N,Cornell University,N,N,N,-76.498527,No,Yes,?,No,No,Yes,?,Yes,Yes,7,?,?,42.439509,?,low
?,?,23,?,NY,?,New York,FALSE,?,?,Y,N,N,N,N,Columbia University,N,N,N,-73.95844,?,?,?,?,?,?,?,?,?,?,?,?,40.809916,?,low
?,Casual,18,?,TX,Yes,Houston,TRUE,?,?,N,N,N,N,N,Rice University,N,Y,N,-95.410004,No,Yes,?,Beer & Wine Only,Yes,No,?,No,Yes,45,Average,?,29.7061,?,high
?,Casual,147,?,CA,Yes,San Luis Obispo,TRUE,?,Yes,N,Y,N,N,N,California Polytechnic State University,Y,N,N,-120.657794,Yes,Yes,No,Beer & Wine Only,No,No,?,Yes,Yes,7,Average,Yes,35.283059,?,high
?,Dressy,10,?,IN,Yes,West Lafayette,TRUE,?,?,N,N,N,N,N,Purdue University,N,Y,N,-86.956787,Yes,Yes,?,Full Bar,Yes,No,?,No,No,20,Quiet,Yes,40.404081,?,high
?,Casual,2,?,NJ,Yes,Princeton,TRUE,?,?,N,N,N,N,N,Princeton University,N,N,N,-74.661078,Yes,No,?,No,No,?,?,?,Yes,20,?,?,40.350943,?,low
?,Casual,6,?,WA,Yes,Seattle,TRUE,?,?,N,N,N,N,N,University of Washington,N,N,N,-122.312791,No,No,No,?,?,?,?,Yes,?,7,?,No,47.661855,?,high
?,Casual,29,?,CA,Yes,Los Angeles,TRUE,?,No,N,Y,N,N,N,University of Southern California,Y,Y,N,-118.291935,No,Yes,No,No,No,No,?,Yes,Yes,7,Average,No,34.030198,?,high
